bowler,batsman,runs
R Sharma,CL White,39
S Nadeem,KD Karthik,39
AB Agarkar,AM Rahane,39
S Nadeem,G Gambhir,39
R Ashwin,Gurkeerat Singh,39
PP Chawla,EJG Morgan,39
YS Chahal,AR Patel,39
SR Watson,YK Pathan,39
M Morkel,WP Saha,39
YS Chahal,KK Nair,39
GB Hogg,GJ Maxwell,39
MJ McClenaghan,G Gambhir,39
Ankit Sharma,AB de Villiers,39
KA Pollard,SPD Smith,38
SK Trivedi,JH Kallis,38
YK Pathan,R Dravid,38
PP Ojha,RV Uthappa,38
SK Trivedi,MS Dhoni,38
IK Pathan,BB McCullum,38
PP Chawla,R Dravid,38
Pankaj Singh,TM Dilshan,38
DL Vettori,YK Pathan,38
RP Singh,TM Dilshan,38
P Kumar,SR Tendulkar,38
JJ Bumrah,BB McCullum,38
A Mishra,AC Gilchrist,38
RP Singh,DJ Hussey,38
SK Trivedi,AB de Villiers,38
JA Morkel,MK Pandey,38
DW Steyn,KA Pollard,38
R Sharma,YK Pathan,38
CH Morris,S Dhawan,38
A Mishra,KS Williamson,38
MC Henriques,KK Nair,38
MJ McClenaghan,WP Saha,38
Harbhajan Singh,SS Tiwary,38
DT Christian,KD Karthik,38
Sandeep Sharma,BB McCullum,38
L Balaji,CH Gayle,38
R Sharma,S Badrinath,38
I Sharma,MEK Hussey,38
JR Hopes,S Badrinath,38
M Morkel,KD Karthik,38
R Bhatia,RV Uthappa,38
Imran Tahir,DA Miller,38
P Awana,V Kohli,38
Harbhajan Singh,DA Miller,38
P Awana,SR Watson,38
DJ Bravo,MS Bisla,38
MG Johnson,RV Uthappa,38
JP Faulkner,RR Pant,38
Imran Tahir,Yuvraj Singh,38
MJ McClenaghan,Yuvraj Singh,38
KV Sharma,BB McCullum,38
RA Jadeja,DA Warner,38
VR Aaron,AD Russell,38
MJ McClenaghan,M Vijay,38
B Kumar,SR Watson,37
DW Steyn,RG Sharma,37
A Nehra,YK Pathan,37
SL Malinga,S Badrinath,37
RP Singh,CH Gayle,37
RP Singh,RV Uthappa,37
YK Pathan,KC Sangakkara,37
Joginder Sharma,RG Sharma,37
MM Patel,AB de Villiers,37
AB Dinda,G Gambhir,37
Harbhajan Singh,RA Jadeja,37
RA Jadeja,SR Tendulkar,37
RJ Harris,RV Uthappa,37
Rashid Khan,M Vohra,37
LR Shukla,MS Dhoni,37
KA Pollard,V Sehwag,37
SR Watson,BB McCullum,37
AD Mathews,SS Tiwary,37
R Vinay Kumar,KM Jadhav,37
MJ McClenaghan,GJ Maxwell,37
AB Agarkar,R Dravid,37
JH Kallis,AT Rayudu,37
Z Khan,R Dravid,37
S Nadeem,R Dravid,37
Sandeep Sharma,AJ Finch,37
AR Patel,SK Raina,37
A Mishra,DA Warner,37
B Lee,DPMD Jayawardene,37
MM Patel,M Vijay,37
Shakib Al Hasan,CH Gayle,37
JD Unadkat,RG Sharma,37
YK Pathan,MEK Hussey,37
R Bhatia,GJ Maxwell,37
R Vinay Kumar,SPD Smith,37
SP Narine,MEK Hussey,37
J Syed Mohammad,KD Karthik,37
P Negi,RG Sharma,37
DJ Bravo,AD Russell,37
P Awana,RV Uthappa,37
A Mishra,KK Nair,37
JP Faulkner,SS Iyer,37
